name,bioguide_id,party,state,chamber,composite_score,scale_score,concentration_score,personal_score,total_financial_exposure,financial_trades,financial_pac,financial_individual,trade_count,pac_count,individual_count,unified_hhi,dominant_sector,dominant_pct,net_worth_display,net_worth_midpoint,wealth_tier,net_worth_is_estimate,pac_banking,pac_insurance,pac_real_estate,pac_investment,pac_lending,pac_payments,pac_credit_unions,pac_private_equity,top_pac_1,top_pac_1_amount,top_pac_1_sector,top_pac_2,top_pac_2_amount,top_pac_2_sector,top_pac_3,top_pac_3_amount,top_pac_3_sector,top_employer_1,top_employer_1_amount,top_employer_1_sector,top_employer_2,top_employer_2_amount,top_employer_2_sector,hfsc_member,sbc_member
"Downing, Troy",D000634,R,Montana,house,20.6,51.6,0.0,0.0,86000.0,0,0,15900.0,0,85,11,2096.4,insurance,38.7,$1M-$5M,3000000,$1M-$5M,Yes,7500.0,46500.0,17000.0,0,0,0,8500.0,0,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,15000.0,insurance,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",15000.0,insurance,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),10000.0,real_estate,BLACKSTONE,7000.0,private_equity,CHARLES SCHWAB CORPORATION,6600.0,investment,Yes,No
"Conaway, Herbert C.",C001136,D,New Jersey,house,5.1,12.8,0.0,0.0,30000.0,0,0,530.0,0,16,5,3091.6,insurance,43.5,$1M-$5M,3000000,$1M-$5M,Yes,3000.0,13000.0,9000.0,0,0,0,5000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,7000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",5000.0,credit_unions,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,5000.0,insurance,MORGAN STANLEY,500.0,investment_banking,TRAVELERS,30.0,banking,No,No
"Bresnahan, Robert P.",B001327,R,Pennsylvania,house,71.3,85.5,23.8,100.0,160050.0,106050,0,38888.0,607,28,14,1930.2,insurance,28.5,$1M-$5M,3000000,$1M-$5M,Yes,6000.0,22000.0,17000.0,0,6500.0,0,2500.0,0,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),10000.0,real_estate,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,7000.0,real_estate,THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE,6500.0,lending,BLACKSTONE,13800.0,private_equity,CITADEL,9900.0,investment,No,No
"Bynum, Janelle S.",B001326,D,Oregon,house,10.1,25.3,0.0,0.0,49500.0,0,0,14795.0,0,66,67,1977.0,insurance,38.4,$1M-$5M,3000000,$1M-$5M,Yes,5000.0,26000.0,0,6000.0,2500.0,0,6000.0,0,PROGRESSIVE TURNOUT PROJECT,10000.0,insurance,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",6000.0,credit_unions,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),6000.0,investment,MORGAN STANLEY,4300.0,investment_banking,KAISER PERMANENTE,1900.0,insurance,Yes,No
"Biggs, Sheri",B001325,R,South Carolina,house,58.5,90.7,21.1,53.0,189318.0,159018,0,250.0,78,14,1,3030.1,real_estate,37.6,$500K-$2M,1250000,$1M-$5M,No,1000.0,10300.0,11500.0,1500.0,0,0,6000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,8000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",6000.0,credit_unions,BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA FEDERAL GOVERNMENT PROGRAMS,5800.0,insurance,NEW YORK LIFE INSURANCE COMPANY,250.0,insurance,,0,,No,No
"Baumgartner, Michael",B001322,R,Washington,house,12.1,30.4,0.0,0.0,57500.0,0,0,2364.0,0,23,6,3714.1,insurance,56.6,$75M-$125M,100000000,$100M+,No,6000.0,32500.0,10500.0,0,3500.0,0,5000.0,0,PREMERA BLUE CROSS POLITICAL ACTION COMMITTEE/PREMERA PAC,12500.0,insurance,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,10000.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,8000.0,real_estate,COLDWELL BANKER,1000.0,real_estate,EDWARD JONES,864.0,investment,No,No
"Barrett, Tom",B001321,R,Michigan,house,16.2,40.6,0.0,0.0,72500.0,0,0,8856.0,0,34,29,3390.4,insurance,53.3,$1M-$5M,3000000,$1M-$5M,Yes,0,42500.0,7500.0,5000.0,12500.0,0,5000.0,0,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",15000.0,insurance,UNITED WHOLESALE MORTGAGE PAC (UWM PAC),12500.0,lending,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),7500.0,real_estate,CHARLES SCHWAB CORPORATION,6600.0,investment,KELLER WILLIAMS,682.0,real_estate,No,No
"McCormick, Richard",M001218,R,Georgia,house,38.0,41.9,20.2,50.5,73511.0,11011,0,6500.0,63,38,5,3334.8,insurance,51.5,$1M-$5M,3000000,$1M-$5M,Yes,5000.0,31500.0,15000.0,0,0,0,3500.0,0,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),15000.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,11000.0,real_estate,SYNCHRONY FINANCIAL EMPLOYEES POLITICAL ACTION COMMITTEE (SYNCPAC),7500.0,financial_services,JPMORGAN CHASE,3000.0,banking,TRUIST,2000.0,banking,No,No
"Stutzman, Marlin A.",S001188,R,Indiana,house,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,0,$1M-$5M,3000000,$1M-$5M,Yes,0,0,0,0,0,0,0,0,,0,,,0,,,0,,,0,,,0,,Yes,No
"Fields, Cleo",F000110,D,Louisiana,house,77.4,93.7,58.9,74.2,231517.0,199017,0,3800.0,205,13,3,2183.9,banking,33.7,$500K-$2M,1250000,$1M-$5M,No,13000.0,5000.0,8500.0,0,0,0,5000.0,0,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),7500.0,banking,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,5000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",5000.0,credit_unions,APOLLO HOLDING,3300.0,private_equity,NEW YORK LIFE,250.0,insurance,Yes,No
"Onder, Robert F.",O000177,R,Missouri,house,2.8,7.1,0.0,0.0,20500.0,0,0,3800.0,0,9,2,2738.2,real_estate,37.0,$1M-$5M,3000000,$1M-$5M,Yes,2500.0,2000.0,9000.0,1000.0,0,0,6000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,8000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",6000.0,credit_unions,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),2500.0,banking,WELLS FARGO,3300.0,banking,CENTRAL BANK,500.0,banking,No,No
"McBride, Sarah",M001238,D,Delaware,house,12.5,31.3,0.0,0.0,59500.0,0,0,51319.0,0,41,85,2495.5,banking,43.5,$1M-$5M,3000000,$1M-$5M,Yes,18000.0,6000.0,11000.0,0,5000.0,8500.0,6000.0,0,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),15000.0,banking,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,11000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",6000.0,credit_unions,JPMORGAN CHASE & COMPANY,7100.0,banking,JP MORGAN CHASE & COMPANY,6600.0,banking,No,No
"Morrison, Kelly",M001234,D,Minnesota,house,32.1,11.4,41.7,50.2,27501.0,1001,0,20975.0,61,17,19,2342.5,insurance,29.2,$1M-$5M,3000000,$1M-$5M,Yes,0,13500.0,2000.0,0,0,0,11000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",11000.0,credit_unions,PROGRESSIVE TURNOUT PROJECT,10000.0,insurance,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",2500.0,insurance,PNC,13600.0,banking,GOLDMAN SACHS,3300.0,investment_banking,No,No
"King-Hinds, Kimberlyn",K000404,R,Northern Mariana Islands,house,0.0,0.0,0.0,0.0,0,0,0,1000.0,0,0,1,10000.0,investment,100.0,$1M-$5M,3000000,$1M-$5M,Yes,0,0,0,0,0,0,0,0,,0,,,0,,,0,,CITADEL,1000.0,investment,,0,,No,No
"Jack, Brian",J000311,R,Georgia,house,16.5,41.2,0.0,0.0,73000.0,0,0,78141.0,0,62,37,2149.3,insurance,38.2,$1M-$5M,3000000,$1M-$5M,Yes,8500.0,44000.0,7000.0,0,5000.0,0,8500.0,0,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),10000.0,insurance,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",10000.0,insurance,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),8500.0,banking,BLACKSTONE,24070.0,private_equity,AFLAC,16461.0,insurance,No,No
"Haridopolos, Mike",H001099,R,Florida,house,19.5,48.8,0.0,0.0,82000.0,0,0,21275.0,0,61,12,1566.2,insurance,26.2,$1M-$5M,3000000,$1M-$5M,Yes,16000.0,26000.0,19500.0,4500.0,0,0,11000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,12000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",11000.0,credit_unions,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,10500.0,insurance,MORGAN STANLEY,10215.0,investment_banking,MERRILL LYNCH,6600.0,investment,Yes,No
"Figures, Shomari",F000481,D,Alabama,house,13.2,33.0,0.0,0.0,62000.0,0,0,6000.0,0,46,15,2296.3,banking,33.1,$1M-$5M,3000000,$1M-$5M,Yes,26000.0,18000.0,6500.0,0,9000.0,0,0,2500.0,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",15000.0,banking,REGIONS FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,11000.0,banking,BLUE CROSS BLUE SHIELD OF ALABAMA PAC,10000.0,insurance,BLUE CROSS,1000.0,insurance,NEW AMERICA,1000.0,insurance,No,No
"Evans, Gabe",E000300,R,Colorado,house,8.0,19.9,0.0,0.0,40500.0,0,0,11703.0,0,21,11,2551.2,insurance,38.5,$1M-$5M,3000000,$1M-$5M,Yes,2500.0,19000.0,13000.0,0,2500.0,0,3500.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,8000.0,real_estate,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),5000.0,real_estate,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,5000.0,insurance,CITADEL,6600.0,investment,CHARLES SCHWAB CORPORATION,3300.0,investment,No,No
"Crank, Jeff",C001137,R,Colorado,house,10.6,26.4,0.0,0.0,50500.0,0,0,19610.0,0,20,9,2529.3,insurance,37.1,$1M-$5M,3000000,$1M-$5M,Yes,5500.0,22500.0,10000.0,0,0,0,12500.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",12500.0,credit_unions,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),10000.0,real_estate,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,10000.0,insurance,TEXAS CAPITAL PARTNERS,10500.0,banking,NORTHWESTERN MUTUAL,3850.0,insurance,No,No
"Bell, Wesley",B001324,D,Missouri,house,23.1,57.7,0.0,0.0,97937.0,0,0,45275.0,0,25,61,2742.2,real_estate,46.5,$1M-$5M,3000000,$1M-$5M,Yes,7500.0,21000.0,60937.0,0,0,0,8500.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,58437.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",8500.0,credit_unions,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),7500.0,banking,EDWARD JONES,13600.0,investment,MORGAN STANLEY,8050.0,investment_banking,No,No
"Wied, Tony",W000829,R,Wisconsin,house,64.5,98.9,41.3,42.0,1157002.0,1100002,0,4820.0,12,32,3,2649.2,insurance,43.5,$1M-$5M,3000000,$1M-$5M,No,6000.0,28000.0,13000.0,0,0,0,5000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,13000.0,real_estate,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,6000.0,insurance,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),6000.0,banking,BLACKSTONE,3300.0,private_equity,CHARLES SCHWAB,1000.0,investment,No,No
"McIver, LaMonica",M001229,D,New Jersey,house,7.5,18.8,0.0,0.0,39000.0,0,0,2000.0,0,11,6,3062.9,insurance,40.2,$1M-$5M,3000000,$1M-$5M,Yes,3500.0,16000.0,6000.0,0,0,0,13500.0,0,PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),15000.0,insurance,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",13500.0,credit_unions,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,6000.0,real_estate,UNITED COMMUNITY CORPORATION,500.0,banking,CUSHMAN WAKEFIELD,500.0,real_estate,No,No
"Fong, Vince",F000480,R,California,house,22.3,55.9,0.0,0.0,95500.0,0,0,5200.0,0,56,9,2565.9,insurance,41.6,$1M-$5M,3000000,$1M-$5M,Yes,10000.0,36500.0,18000.0,0,5000.0,0,26000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",26000.0,credit_unions,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,13000.0,real_estate,BLUE SHIELD OF CALIFORNIA PAC (SHIELD PAC),12500.0,insurance,VANGUARD INTERNATIONAL,2200.0,investment,STATE FARM INSURANCE,1000.0,insurance,No,No
"Kennedy, Timothy M.",K000402,D,New York,house,25.8,64.6,0.0,0.0,108000.0,0,0,13344.0,0,66,12,2797.0,insurance,43.2,$1M-$5M,3000000,$1M-$5M,Yes,5500.0,46500.0,44000.0,0,0,0,12000.0,0,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,22500.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,18000.0,real_estate,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),15000.0,real_estate,APOLLO,3535.0,private_equity,BLACKSTONE,3300.0,private_equity,No,No
"Maloy, Celeste",M001228,R,Utah,house,28.4,70.9,0.0,0.0,122000.0,0,0,12337.0,0,40,9,2524.6,real_estate,37.3,$1M-$5M,3000000,$1M-$5M,Yes,15000.0,32500.0,52000.0,0,2000.0,0,17500.0,0,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),32000.0,real_estate,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,27500.0,insurance,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",17500.0,credit_unions,ZIONS BANCORPORATION,4300.0,banking,CHARLES SCHWAB CORPORATION,3300.0,investment,No,No
"Amo, Gabe",A000380,D,Rhode Island,house,20.2,50.5,0.0,0.0,84500.0,0,0,58300.0,0,53,49,1647.5,insurance,23.3,$1M-$5M,3000000,$1M-$5M,Yes,13000.0,29500.0,29000.0,0,0,0,13000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,17000.0,real_estate,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),14500.0,insurance,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",13000.0,credit_unions,BLACKSTONE,14900.0,private_equity,CITIZENS BANK,9250.0,banking,No,No
"McClellan, Jennifer L.",M001227,D,Virginia,house,50.4,35.9,80.0,40.2,67000.0,0,0,3369.0,1,43,8,2040.1,insurance,28.3,$1M-$5M,3000000,$1M-$5M,Yes,7500.0,17000.0,21000.0,0,0,7500.0,11000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,16000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",11000.0,credit_unions,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),7500.0,banking,PAYPAL,1250.0,payments,TRUIST,500.0,banking,No,No
"Van Orden, Derrick",V000135,R,Wisconsin,house,21.3,53.3,0.0,0.0,89000.0,0,0,8380.0,0,44,46,2825.5,insurance,36.5,$1M-$5M,3000000,$1M-$5M,Yes,21500.0,31500.0,30000.0,0,6000.0,0,0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,13000.0,real_estate,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),12500.0,banking,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),12000.0,real_estate,LINCOLN INTERNATIONAL,3300.0,insurance,JP MORGAN,2000.0,banking,No,No
"Self, Keith",S001224,R,Texas,house,6.0,15.1,0.0,0.0,33000.0,0,0,1250.0,0,25,2,2765.6,real_estate,42.0,$1M-$5M,3000000,$1M-$5M,Yes,1000.0,9000.0,16500.0,0,3500.0,0,1000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,7000.0,real_estate,NATIONAL APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,5000.0,real_estate,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),4500.0,real_estate,GOLDMAN SACHS,1000.0,investment_banking,MORGAN STANLEY,250.0,investment_banking,No,No
"Perez, Marie Gluesenkamp",G000600,D,Washington,house,29.4,73.6,0.0,0.0,130752.0,0,0,38056.0,0,61,84,2324.0,insurance,33.2,$1M-$5M,3000000,$1M-$5M,Yes,8500.0,39500.0,55252.0,0,19500.0,0,0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,55252.0,real_estate,PROGRESSIVE TURNOUT PROJECT,10000.0,insurance,THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE,10000.0,lending,KAISER PERMANENTE,10886.0,insurance,BAIN CAPITAL LP,6600.0,private_equity,No,No
"Ogles, Andrew",O000175,R,Tennessee,house,13.5,33.7,0.0,0.0,63500.0,0,0,5307.0,0,59,5,2064.7,real_estate,27.2,$1M-$5M,3000000,$1M-$5M,Yes,17000.0,16500.0,20000.0,0,0,3500.0,6500.0,0,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM,12000.0,insurance,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),9500.0,real_estate,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",7500.0,banking,REMAX,3307.0,real_estate,CHASE INVESTMENT,1000.0,banking,Yes,No
"Moran, Nathaniel",M001224,R,Texas,house,19.4,48.4,0.0,0.0,81000.0,0,0,5000.0,0,64,5,2244.1,real_estate,30.8,$1M-$5M,3000000,$1M-$5M,Yes,16000.0,12000.0,36500.0,5000.0,6000.0,0,5500.0,0,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),16000.0,banking,NATIONAL APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,13500.0,real_estate,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,10000.0,real_estate,NORTHWESTERN MUTUAL,1500.0,insurance,JPMORGAN,1000.0,banking,No,No
"Magaziner, Seth",M001223,D,Rhode Island,house,20.0,50.1,0.0,0.0,84000.0,0,0,13850.0,0,83,11,2503.2,insurance,43.3,$1M-$5M,3000000,$1M-$5M,Yes,10500.0,42000.0,17000.0,6500.0,0,0,8000.0,0,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),15500.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,12000.0,real_estate,"CITIZENS FINANCIAL GROUP, INC. POLITICAL ACTION COMMITTEE (CITIZENS PAC)",10500.0,banking,BAIN CAPITAL,6600.0,private_equity,CITIZENS BANK,3500.0,banking,No,No
"Luttrell, Morgan",L000603,R,Texas,house,7.1,17.7,0.0,0.0,37500.0,0,0,12330.0,0,29,71,2140.9,real_estate,28.4,$1M-$5M,3000000,$1M-$5M,Yes,9000.0,10000.0,16000.0,0,0,0,2500.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,6000.0,real_estate,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),5500.0,real_estate,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),5000.0,banking,CITADEL LLC,9900.0,investment,FAIRBANKS MORSE,1330.0,banking,No,No
"Lee, Summer L.",L000602,D,Pennsylvania,house,1.5,3.7,0.0,0.0,13000.0,0,0,18897.0,0,5,50,3828.5,insurance,52.0,$1M-$5M,3000000,$1M-$5M,Yes,0,5000.0,8000.0,0,0,0,0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,8000.0,real_estate,PROGRESSIVE TURNOUT PROJECT,5000.0,insurance,,0,,NATIONWIDE,6600.0,insurance,KAISER PERMANENTE,5000.0,insurance,No,No
"Kiggans, Jennifer A.",K000399,R,Virginia,house,35.8,89.6,0.0,0.0,181297.0,0,0,54595.0,0,94,60,2206.1,real_estate,35.4,$1M-$5M,3000000,$1M-$5M,Yes,18000.0,48000.0,98297.0,0,0,11000.0,0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,86297.0,real_estate,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),19500.0,insurance,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),12500.0,insurance,GENWORTH FINANCIAL INC,24100.0,financial_services,BLACKSTONE,21200.0,private_equity,No,No
"Hunt, Wesley",H001095,R,Texas,house,11.1,27.7,0.0,0.0,52500.0,0,0,18949.0,0,27,10,1609.0,insurance,24.2,$1M-$5M,3000000,$1M-$5M,Yes,2500.0,18500.0,16500.0,10000.0,0,0,5000.0,0,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",10000.0,insurance,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE (BLACKROCK PAC),10000.0,investment,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,8000.0,real_estate,BLACKSTONE,9900.0,private_equity,MORGAN STANLEY,5000.0,investment_banking,No,No
"Hageman, Harriet M.",H001096,R,Wyoming,house,5.5,13.8,0.0,0.0,30500.0,0,0,1579.0,0,11,19,3423.3,real_estate,53.0,$1M-$5M,3000000,$1M-$5M,Yes,2500.0,6000.0,17000.0,0,2500.0,0,2500.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,10000.0,real_estate,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),7000.0,real_estate,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY FEDERAL POLITICAL ACTION COMMITTEE (STATE FARM FEDERAL PAC),6000.0,insurance,MERRILL LYNCH,759.0,investment,BERKSHIRE HATHAWAY,500.0,insurance,No,No
"Fry, Russell",F000478,R,South Carolina,house,16.2,40.6,0.0,0.0,72500.0,0,0,10360.0,0,56,6,2710.0,insurance,43.8,$1M-$5M,3000000,$1M-$5M,Yes,12500.0,26000.0,24000.0,0,5500.0,0,4500.0,0,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),12500.0,banking,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,12000.0,real_estate,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,7000.0,insurance,STATE FARM,8600.0,insurance,STATE FARM INSURANCE,1500.0,insurance,No,No
"Deluzio, Christopher R.",D000530,D,Pennsylvania,house,11.2,27.9,0.0,0.0,53000.0,0,0,24675.0,0,26,46,3554.9,insurance,56.3,$1M-$5M,3000000,$1M-$5M,Yes,0,35500.0,12000.0,0,2500.0,0,1000.0,0,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,15000.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,11000.0,real_estate,PROGRESSIVE TURNOUT PROJECT,10000.0,insurance,NORTHWESTERN MUTUAL,6400.0,insurance,MORGAN STANLEY,5300.0,investment_banking,No,No
"De La Cruz, Monica",D000594,R,Texas,house,31.1,77.8,0.0,0.0,139737.0,0,0,10701.0,0,146,30,1877.2,insurance,28.8,$1M-$5M,3000000,$1M-$5M,Yes,15000.0,10000.0,65237.0,0,29500.0,0,12500.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,25687.0,real_estate,THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE,17500.0,lending,NATIONAL APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,15050.0,real_estate,OPPORTUNITY FINANCIAL LLC,2500.0,consumer_lending,MORGAN STANLEY,2150.0,investment_banking,Yes,No
"Crockett, Jasmine",C001130,D,Texas,house,17.7,44.3,0.0,0.0,76000.0,0,0,14939.0,0,63,45,1670.5,insurance,23.8,$1M-$5M,3000000,$1M-$5M,Yes,18000.0,7500.0,23000.0,3500.0,10000.0,0,9500.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,12000.0,real_estate,NATIONAL MULTIFAMILY HOUSING COUNCIL AND REAL ESTATE TECHNOLOGY AND TRANSFORMATION CENTER POLITICAL ACTION COMMITTEE (NMHC PAC),11000.0,real_estate,THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE,10000.0,lending,AFLAC,3500.0,insurance,KAISER PERMANENTE,2750.0,insurance,No,No
